ID,V1,V2,V3,QnWeight_initial,PC1_cov,Prop_Qn_Weight_Loss,Survived_eclosion,Days_wrkr_eclosion_minus20,Cmass_eclosion,Survived_e_6wks,Cmass_6wks,Prop_gr_1_2
36,0,0,0,11.1,0.011379015,NA,0,NA,NA,NA,NA,NA
37,0,0,0,14.8,-0.040942923,0.445945946,1,3,9.6,NA,NA,NA
38,0,0,0,14.2,-0.082284946,0.485915493,1,2,9.8,1,45.7,4.663265306
39,0,0,0,12.7,-0.173656321,0.543307087,1,2,8.7,NA,NA,NA
40,0,0,0,17.9,0.022723036,NA,0,NA,NA,NA,NA,NA
41,0,0,0,16.2,-0.061326436,0.543209877,1,0,11.1,NA,NA,NA
42,0,0,0,14.2,NA,NA,0,NA,NA,NA,NA,NA
43,0,0,0,15,0.030309309,0.46,1,1,11.4,NA,NA,NA
44,0,0,0,15.1,0.005131715,NA,0,NA,NA,NA,NA,NA
45,1,1,1,15.3,-0.000863968,0.607843137,1,NA,1.1,NA,NA,NA
46,0,0,0,16.3,0.072619369,0.435582822,1,0,12.3,NA,NA,NA
47,0,0,0,15.5,-0.004117635,0.529032258,1,0,11.3,NA,NA,NA
48,0,0,0,16.3,0.008237871,0.429447853,1,0,13,1,71.4,5.492307692
49,0,0,0,17,NA,0.470588235,1,0,13.4,NA,NA,NA
50,0,0,0,15.9,0.025469259,NA,0,NA,NA,NA,NA,NA
51,0,0,0,15.1,0.233237083,NA,0,NA,NA,NA,NA,NA
52,0,0,0,14.9,0.043434984,0.489932886,1,3,9.6,NA,NA,NA
53,0,0,0,15.4,0.002410207,NA,0,NA,NA,NA,NA,NA
54,0,0,0,12.9,0.017884698,NA,0,NA,NA,NA,NA,NA
55,0,0,0,16.5,0.070046253,0.563636364,1,3,1.5,NA,NA,NA
56,0,0,0,12.8,-0.039613297,0.515625,1,3,7.4,NA,NA,NA
57,0,0,0,16,0.06974859,NA,0,NA,NA,NA,NA,NA
58,0,0,0,16.2,0.067265888,NA,0,NA,NA,NA,NA,NA
59,0,0,0,13.4,-0.048651134,0.47761194,1,1,7.5,NA,NA,NA
60,0,0,0,14.5,0.051537272,0.496551724,1,0,9.6,NA,NA,NA
61,0,0,0,14.7,0.053422964,0.530612245,1,2,8.8,NA,NA,NA
62,0,0,0,14.8,0.013466819,NA,0,NA,NA,NA,NA,NA
63,0,0,0,16,NA,0.475,1,1,12.2,1,41.7,3.418032787
64,0,0,0,16.5,0.045110007,NA,0,NA,NA,NA,NA,NA
65,1,1,0,13.1,0.017901705,0.458015267,1,0,10.1,NA,NA,NA
66,0,0,0,15.5,0.023591231,0.561290323,1,1,8.3,NA,NA,NA
67,0,0,0,16.9,0.052481386,0.526627219,1,1,12.3,1,70.1,5.699186992
68,0,0,0,14.3,0.013041252,0.433566434,1,3,8.9,NA,NA,NA
69,0,0,0,12.3,0.042380835,0.504065041,1,1,8.5,NA,NA,NA
70,0,0,0,15.3,-0.018000702,NA,0,NA,NA,NA,NA,NA
71,0,0,0,15.1,0.025557111,0.417218543,1,2,11.2,1,2.5,0.223214286
72,0,0,0,15.2,0.053195226,0.486842105,1,0,9.8,NA,NA,NA
73,0,0,0,14.6,0.017280854,0.534246575,1,2,8.7,NA,NA,NA
74,0,0,0,15.7,0.039006866,0.452229299,1,1,12.3,NA,NA,NA
75,0,0,0,15.4,0.035306285,0.454545455,1,0,11.5,NA,NA,NA
76,0,1,0,14.4,0.028615505,0.819444444,1,6,1.6,NA,NA,NA
77,0,0,0,16.3,0.037370191,0.466257669,1,0,12.5,NA,NA,NA
78,0,0,0,15.3,-0.083401371,NA,0,NA,NA,NA,NA,NA
79,0,0,0,14.1,0.089625599,0.524822695,1,0,9.1,NA,NA,NA
80,0,0,0,13.3,0.093482299,NA,0,NA,NA,NA,NA,NA
81,0,0,0,16.7,-0.218121685,0.574850299,1,0,8.5,1,86.6,10.18823529
82,0,1,0,15.1,NA,0.715231788,1,1,7.6,NA,NA,NA
83,1,0,0,15.5,0.053408451,0.496774194,1,1,12.2,NA,NA,NA
84,0,0,0,14.2,0.004046013,0.478873239,1,1,9.5,1,29.1,3.063157895
85,0,0,0,16.4,0.031489674,0.481707317,1,0,11.3,NA,NA,NA
86,0,0,0,15.8,0.007807177,0.443037975,1,1,11.6,1,65.9,5.681034483
87,0,0,0,14.1,0.019529862,0.475177305,1,1,10.2,1,35.4,3.470588235
88,0,0,1,17.9,0.060755931,0.474860335,1,1,13.2,1,74.3,5.628787879
89,1,1,0,14.6,0.0000648,0.787671233,1,NA,1.1,0,NA,NA
90,0,0,0,14.9,0.059807553,0.510067114,1,0,10.5,NA,NA,NA
91,0,0,0,16.4,0.041628617,0.43902439,1,2,11.2,NA,69.6,6.214285714
92,0,0,0,15.6,-0.051892902,0.519230769,1,0,10.2,NA,NA,NA
93,0,1,0,15.3,0.050724481,0.738562092,1,NA,0.8,1,NA,NA
94,0,1,0,13.2,0.026995908,NA,0,NA,NA,NA,NA,NA
95,0,0,0,15.9,0.014984083,0.559748428,1,0,11.3,NA,NA,NA
96,0,0,0,13.9,0.00370826,NA,0,NA,NA,NA,NA,NA
97,0,1,0,11.4,0.013734627,NA,0,NA,NA,NA,NA,NA
98,0,0,0,13.9,0.011771307,0.539568345,1,0,9.3,NA,NA,NA
99,0,0,0,16.3,0.046700607,0.496932515,1,0,10.4,NA,NA,NA
100,0,0,0,16,NA,0.55625,1,0,11.9,1,51.8,4.352941176
101,0,0,0,11.8,NA,0.593220339,1,1,5.5,NA,74.5,13.54545455
102,0,0,0,15.5,NA,0.529032258,1,0,11.6,NA,NA,NA
103,0,1,0,16.3,NA,0.45398773,1,1,11.2,NA,NA,NA
104,0,0,0,15.4,NA,0.525974026,1,0,7.7,NA,NA,NA
105,0,0,0,13.5,NA,NA,0,NA,NA,NA,NA,NA
106,0,0,0,15.2,NA,NA,0,NA,NA,NA,NA,NA
107,0,0,0,14.9,NA,0.496644295,1,1,10.5,NA,NA,NA
108,0,0,0,14.3,NA,0.51048951,1,0,10.5,1,90.7,8.638095238
109,0,0,0,14,NA,0.571428571,1,2,4.1,1,2.7,0.658536585
110,0,0,0,9.6,NA,NA,0,NA,NA,NA,NA,NA
111,0,0,0,16,NA,0.525,1,1,9.9,NA,NA,NA
112,0,0,0,15,NA,NA,0,NA,NA,NA,NA,NA
113,0,0,1,14.3,NA,0.454545455,1,2,11.3,1,62.5,5.530973451
114,0,0,0,16,NA,0.45625,1,1,12,NA,NA,NA
115,0,0,0,15.9,NA,0.440251572,1,1,13,NA,NA,NA
116,0,0,0,14.4,NA,0.479166667,1,2,9.8,1,95.7,9.765306122
117,0,0,0,16.9,NA,0.449704142,1,1,12.2,1,80.4,6.590163934
118,0,0,0,15.2,-0.032301624,0.486842105,1,1,11.8,NA,NA,NA
119,0,0,0,14.6,-0.044288668,NA,1,NA,NA,0,NA,NA
120,0,0,0,15.2,0.023688484,NA,0,NA,NA,NA,NA,NA
121,0,0,0,14.8,0.021359297,0.540540541,1,1,9.7,1,65,6.701030928
122,0,0,1,13.8,-0.001690394,NA,0,NA,NA,NA,NA,NA
123,0,0,0,15.2,0.074169001,NA,1,NA,NA,0,NA,NA
124,0,0,0,14.8,-0.00971078,NA,0,NA,NA,NA,NA,NA
125,0,0,0,15.2,-0.042092565,0.460526316,1,2,10.4,NA,NA,NA
126,0,0,0,15.3,0.013205841,0.509803922,1,1,10.3,NA,NA,NA
127,0,0,0,14.5,0.010461326,0.455172414,1,1,11,NA,NA,NA
128,1,1,0,14.7,-0.073189092,0.829931973,1,NA,2.5,NA,NA,NA
129,0,1,0,15.9,0.022932847,0.446540881,1,0,11.8,1,69.9,5.923728814
130,0,0,0,13.6,-0.028330645,0.514705882,1,2,9.8,1,63.2,6.448979592
131,0,0,0,15.8,0.058157239,0.462025316,1,3,12.3,NA,NA,NA
132,0,0,0,16,0.007524875,NA,0,NA,NA,NA,NA,NA
133,0,0,0,14.9,0.042190659,0.530201342,1,1,9.7,1,51.8,5.340206186
134,0,0,0,13.7,0.004248164,NA,0,NA,NA,NA,NA,NA
135,1,1,0,14.6,NA,0.808219178,1,NA,0.7,NA,NA,NA
136,0,0,0,16.5,0.105251907,0.490909091,1,1,11.8,NA,NA,NA
137,0,1,0,14.8,-0.020830508,NA,1,NA,NA,NA,NA,NA
138,0,0,0,11.9,-0.015285999,0.613445378,1,6,4.2,NA,13.7,3.261904762
139,0,1,0,16.7,0.048147941,0.526946108,1,4,8.2,NA,NA,NA
140,0,1,0,12.1,-0.047352212,NA,0,NA,NA,NA,NA,NA
141,0,0,0,14.4,0.080923769,0.541666667,1,0,10.3,1,52.7,5.116504854
142,0,0,0,16.4,0.045034988,0.475609756,1,1,10.6,1,54.1,5.103773585
143,0,1,0,14.2,-0.061682111,0.457746479,1,1,11.3,NA,NA,NA
144,0,1,0,13.5,-0.021447128,NA,0,NA,NA,NA,NA,NA
145,0,0,0,15.2,-0.016990862,0.434210526,1,1,11.5,NA,NA,NA
146,0,0,0,15.2,-0.002337718,0.480263158,1,0,12.3,NA,NA,NA
147,0,0,0,15,0.018695772,0.48,1,0,12.4,NA,NA,NA
148,0,0,0,15.3,0.071543863,0.575163399,1,3,3.8,1,44.8,11.78947368
149,0,1,0,15.4,0.043910036,0.902597403,1,3,2.6,NA,NA,NA
150,0,0,0,14.1,NA,0.539007092,1,0,10.2,NA,NA,NA
151,0,1,0,13,-0.033899906,0.476923077,1,2,9,NA,NA,NA
152,0,0,0,16.7,-0.047572291,NA,1,NA,NA,NA,NA,NA
153,0,0,0,14.9,0.021447984,0.919463087,1,1,5.9,NA,NA,NA
154,0,0,0,14.4,-0.023921284,0.548611111,1,0,10.2,NA,NA,NA
155,0,1,0,15,-0.029462427,0.506666667,1,0,8.2,NA,NA,NA
156,1,0,0,17.3,0.073366478,0.479768786,1,1,12,NA,NA,NA
157,0,0,0,15.2,-0.067314503,0.513157895,1,1,11.3,NA,NA,NA
158,0,0,0,15.6,-0.002870778,0.487179487,1,0,11.6,NA,NA,NA
159,0,0,0,15.3,-0.025308102,0.522875817,1,0,11.7,NA,NA,NA
160,0,0,0,15.8,0.009060029,0.46835443,1,1,11.6,NA,NA,NA
161,0,0,0,13.6,0.018171302,0.536764706,1,2,6.2,0,NA,NA
162,0,0,0,13.6,0.039659336,0.485294118,1,4,9.3,1,38.2,4.107526882
163,0,0,0,12.4,-0.006921049,0.564516129,1,1,9.1,NA,NA,NA
164,0,0,0,13.6,-0.017804531,0.507352941,1,1,10.2,1,43.1,4.225490196
165,0,0,0,15.2,0.020295752,0.5,1,0,12.1,NA,NA,NA
166,0,0,0,15.9,0.012208826,0.503144654,1,0,12,1,62,5.166666667
167,0,0,0,15.8,0.05500928,NA,0,NA,NA,NA,NA,NA
168,0,0,0,14.4,-0.076682395,0.493055556,1,0,11.1,1,29.6,2.666666667
169,0,0,0,12.9,0.05329588,0.426356589,1,2,9.7,NA,NA,NA
170,0,0,0,14.6,0.039614134,0.575342466,1,1,6.3,1,53.2,8.444444444
171,0,0,0,16,0.01365359,0.4625,1,2,10.9,NA,NA,NA
172,0,0,0,15.7,0.020823676,0.445859873,1,2,11.3,1,48.5,4.292035398
173,0,0,0,15.6,-0.022110639,0.5,1,0,10.2,NA,NA,NA
174,0,0,0,15.9,-0.005323615,0.421383648,1,0,12.5,NA,NA,NA
175,0,0,0,15.6,NA,0.525641026,1,1,10.2,NA,NA,NA
176,0,0,0,14.2,0.008841715,0.478873239,1,0,11.1,NA,NA,NA
177,0,0,0,16.8,0.02435457,0.5,1,0,12.3,NA,NA,NA
178,0,1,0,16.3,NA,0.595092025,1,2,5.2,0,NA,NA
179,0,0,0,13.2,0.010327417,0.484848485,1,2,7.2,1,15.3,2.125
180,0,0,0,15.2,-0.030622313,NA,0,NA,NA,NA,NA,NA
181,0,0,0,15.7,0.00448781,NA,0,NA,NA,NA,NA,NA
182,0,0,0,15.4,-0.017629688,0.461038961,1,0,11.6,NA,NA,NA
183,0,0,0,14.6,0.000774409,0.52739726,1,0,9.7,NA,NA,NA
184,0,0,0,16.4,0.062392587,NA,0,NA,NA,NA,NA,NA
185,0,1,0,13.7,0.023696157,0.583941606,1,2,8.1,1,2.3,0.283950617
186,0,0,0,14.1,0.033736998,0.617021277,1,2,5.2,NA,NA,NA
187,0,1,0,14.9,0.023075254,0.718120805,1,4,5.2,NA,NA,NA
188,0,0,0,15.3,0.010470673,NA,0,NA,NA,NA,NA,NA
189,0,0,0,15.2,-0.04621538,0.493421053,1,0,10.5,1,60.6,5.771428571
190,1,1,0,8.5,-0.020317083,NA,0,NA,NA,NA,NA,NA
191,0,0,0,16.4,0.025899958,0.463414634,1,1,12.3,NA,NA,NA
192,0,0,0,12.6,-0.02864025,0.555555556,1,3,8.7,NA,NA,NA
193,0,0,0,15.5,0.005794401,NA,0,NA,NA,NA,NA,NA
194,0,0,0,14.1,-0.023040304,0.510638298,1,0,13.6,1,55,4.044117647
195,0,0,0,15.4,0.027792479,0.5,1,2,10.8,1,76.6,7.092592593
196,0,0,0,12.4,NA,NA,1,3,9.1,NA,NA,NA
197,0,0,0,15.1,-0.040259773,NA,0,NA,NA,NA,NA,NA
198,0,0,0,14.7,NA,0.462585034,1,2,12,1,42.6,3.55
199,0,0,0,15.1,-0.009668993,0.523178808,1,3,12.2,1,78.6,6.442622951
200,0,0,0,13.1,-0.060686838,NA,0,NA,NA,NA,NA,NA
201,0,1,0,14.7,-0.006735123,NA,0,NA,NA,NA,NA,NA
202,0,0,0,15.5,-0.013327829,0.483870968,1,2,12.6,1,28.9,2.293650794
203,0,0,0,15.5,0.009925734,NA,0,NA,NA,NA,NA,NA
204,0,0,0,16.2,-0.003968403,0.635802469,1,2,4.7,1,11.9,2.531914894
205,0,0,1,14.3,-0.073087565,0.496503497,1,3,11.1,1,32.7,2.945945946
206,0,0,0,15.7,-0.069375867,0.452229299,1,2,11.8,NA,NA,NA
207,0,0,0,15.1,-0.021223712,NA,0,NA,NA,NA,NA,NA
208,0,1,0,13,-0.127676395,NA,0,NA,NA,NA,NA,NA
209,0,1,0,14,-0.018725644,NA,0,NA,NA,NA,NA,NA
210,0,1,0,12.7,-0.067406639,NA,0,NA,NA,NA,NA,NA
211,0,1,0,13.8,-0.024537976,0.456521739,1,3,10.9,NA,NA,NA
212,0,0,0,13.2,NA,NA,0,NA,NA,NA,NA,NA
213,0,0,0,13.5,-0.153840754,0.481481481,1,1,9.9,1,60.2,6.080808081
214,0,0,0,13.8,0.049984167,0.52173913,1,0,10.6,NA,NA,NA
215,0,1,0,14.8,0.049427262,0.682432432,1,8,5.3,1,2,0.377358491
216,0,0,0,15.2,-0.02261901,0.460526316,1,2,10.2,NA,NA,NA
217,0,1,0,15,-0.046675896,0.686666667,1,3,7.7,NA,NA,NA
218,0,0,0,14.8,-0.022926806,0.486486486,1,1,9.9,NA,NA,NA
219,0,0,0,15.2,-0.01757171,NA,1,NA,NA,0,NA,NA
220,0,1,0,15,0.011684313,NA,0,NA,NA,NA,NA,NA
221,0,0,0,15,0.066211739,NA,0,NA,NA,NA,NA,NA
222,0,0,0,15.9,0.084558712,0.446540881,1,2,11.4,1,15.2,1.333333333
223,1,1,0,15.3,0.038521593,NA,0,NA,NA,NA,NA,NA
224,0,0,0,15.3,0.043136467,0.483660131,1,2,11.1,1,59.2,5.333333333
225,0,1,0,14.3,NA,NA,0,NA,NA,NA,NA,NA
226,0,0,0,15.7,0.031900753,0.50955414,1,1,11.3,NA,NA,NA
227,0,1,0,15.5,0.026275229,NA,0,NA,NA,NA,NA,NA
228,0,0,0,14.8,-0.007739806,0.641891892,1,2,7.6,1,123.5,16.25
229,0,1,0,15.8,-0.011622927,0.544303797,1,1,11.4,1,19.7,1.728070175
230,0,1,0,12.2,0.01096195,NA,0,NA,NA,NA,NA,NA
230.5,0,0,0,NA,NA,NA,1,0,9.7,NA,NA,NA
231,0,0,0,14.4,NA,NA,0,1,NA,NA,NA,NA
231.5,0,0,0,NA,NA,NA,1,3,8.9,NA,NA,NA
232,0,0,0,15.3,-0.046398741,0.529411765,1,2,12,1,44.2,3.683333333
233,0,0,0,15.8,NA,0.455696203,1,2,11.3,NA,NA,NA
234,0,0,0,13.1,-0.049666047,0.503816794,1,5,9.7,0,NA,NA
235,0,0,0,17.6,0.013853174,0.465909091,1,0,13.4,1,55.8,4.164179104
236,0,0,0,13.8,NA,0.528985507,1,0,9.8,NA,NA,NA
237,0,0,0,16.2,0.1021031,0.50617284,1,0,11.8,NA,NA,NA
238,0,0,0,13.5,-0.089296414,0.577777778,1,0,7.5,NA,NA,NA
239,0,0,0,14.7,-0.062430986,0.476190476,1,0,10.9,NA,NA,NA
240,0,1,0,12,NA,0.591666667,1,5,4.9,NA,NA,NA
241,0,0,0,15.6,0.018617314,0.532051282,1,1,12.4,1,81.8,6.596774194
242,0,0,0,15.2,0.033342116,0.552631579,1,1,10.8,NA,NA,NA
243,0,0,0,11.4,0.009330407,0.50877193,1,0,7.8,NA,22.4,2.871794872
244,0,0,0,12.6,0.031354082,NA,0,NA,NA,NA,NA,NA
245,0,0,0,14.9,-0.06136149,0.416107383,1,1,12.4,NA,NA,NA
246,0,0,0,14.1,NA,NA,0,NA,NA,NA,NA,NA
247,0,0,0,13.6,0.044405548,0.492647059,1,3,6.5,1,NA,NA
248,0,1,0,15.3,0.013893298,0.437908497,1,1,10,NA,NA,NA
249,0,0,0,14,-0.038941192,NA,0,NA,NA,NA,NA,NA
250,0,0,0,16.1,-0.02612001,NA,0,NA,NA,NA,NA,NA
251,0,0,0,16.4,0.002223417,0.475609756,1,0,12.6,1,78.3,6.214285714
252,0,0,0,16,0.067372508,NA,0,NA,NA,NA,NA,NA
253,0,1,0,15.1,0.004697592,0.582781457,1,NA,1.1,NA,NA,NA
254,0,0,0,14.2,-0.038340753,0.577464789,1,1,9.7,1,51.9,5.350515464
255,0,0,0,15.4,NA,0.474025974,1,1,7.6,NA,NA,NA
256,0,1,0,10.7,-0.057286434,NA,1,NA,NA,NA,NA,NA
257,0,0,0,15.8,-0.066346509,NA,0,NA,NA,NA,NA,NA
258,0,0,0,14.7,0.010936364,NA,0,NA,NA,NA,NA,NA
259,0,0,1,15,-0.019590399,0.566666667,1,0,10.6,1,85.6,8.075471698
260,0,0,0,14.8,-0.067854325,0.527027027,1,0,11,1,60.9,5.536363636
261,1,1,0,13.9,0.103036989,0.841726619,1,NA,0.3,NA,NA,NA
262,0,0,0,15.4,NA,0.448051948,1,2,11.6,1,39.7,3.422413793
263,0,0,0,15,-0.06053163,NA,0,NA,NA,NA,NA,NA
264,0,0,0,14.2,-0.078145968,NA,0,NA,NA,NA,NA,NA
265,0,0,0,12.9,0.004313812,0.527131783,1,1,10.3,NA,77.4,7.514563107
266,0,0,0,16.2,-0.119597142,0.462962963,1,2,13.5,1,119.5,8.851851852
267,0,0,0,14.8,-0.061184048,0.560810811,1,2,9.6,NA,NA,NA
268,0,0,0,14,0.023033462,0.471428571,1,3,10.1,1,47.3,4.683168317
269,0,1,0,14.2,-0.064216903,NA,0,NA,NA,NA,NA,NA
270,0,0,0,15.2,-0.061995117,0.631578947,1,1,9.2,NA,NA,NA
271,0,0,0,15.2,-0.01463866,NA,1,NA,NA,NA,NA,NA
272,0,0,0,15.2,0.013407963,NA,0,NA,NA,NA,NA,NA
273,0,0,0,16,0.017403665,0.44375,1,2,11.8,1,37,3.13559322
274,0,0,0,14.3,-0.028858583,NA,0,NA,NA,NA,NA,NA
275,0,0,0,14.4,-0.029261144,0.541666667,1,1,10.5,NA,NA,NA
276,0,1,0,13.9,-0.037553583,0.697841727,1,13,1.5,1,0.3,0.2
277,0,0,0,16.8,0.044222174,0.452380952,1,2,12.9,NA,56.1,4.348837209
278,0,0,0,15.7,-0.01546168,0.426751592,1,2,12.8,NA,NA,NA
279,0,0,0,15.1,0.012540603,0.516556291,1,1,10.2,NA,NA,NA
280,0,0,0,15.8,0.014835681,NA,1,NA,NA,NA,NA,NA
281,0,0,0,13,-0.019182774,0.492307692,1,2,9.2,NA,NA,NA
282,0,0,0,14.3,0.070061609,0.48951049,1,1,10,NA,NA,NA
283,0,0,0,16.8,0.026403997,0.541666667,1,2,8.8,NA,33.5,3.806818182
284,0,1,0,14.1,-0.013858304,NA,1,NA,NA,NA,NA,NA
285,0,0,0,12.9,NA,NA,0,NA,NA,NA,NA,NA
286,0,0,0,13.8,-0.048968422,0.644927536,1,2,7.1,NA,NA,NA
287,0,0,0,14.7,-0.001531757,0.496598639,1,2,10.3,NA,NA,NA
288,0,0,0,14,0.024810846,NA,0,NA,NA,NA,NA,NA
289,0,0,0,15.1,0.021834335,0.509933775,1,1,11.3,1,78.3,6.92920354
290,0,0,0,15.4,0.055633589,NA,0,NA,NA,NA,NA,NA
291,0,1,0,12.6,-0.029697761,NA,0,NA,NA,NA,NA,NA
292,0,0,0,14.5,0.074256024,0.627586207,1,4,6.3,NA,NA,NA
293,0,0,0,13.7,NA,NA,0,NA,NA,NA,NA,NA
294,1,1,0,12,-0.04068617,0.566666667,1,4,5.1,NA,NA,NA
295,0,0,0,15.1,0.006609743,0.57615894,1,0,8.8,NA,NA,NA
296,0,0,0,14.1,0.06108344,0.475177305,1,1,8.3,NA,NA,NA
297,0,0,0,14.1,-0.001240937,0.503546099,1,1,10.6,1,53.7,5.066037736
298,0,0,0,15.3,0.000700196,0.496732026,1,1,11.7,NA,NA,NA
299,0,1,0,15.3,-0.082473404,0.738562092,1,3,4.9,NA,NA,NA
300,0,0,0,15.6,-0.136445671,NA,0,NA,NA,NA,NA,NA
301,0,0,0,14.7,-0.021436064,NA,0,NA,NA,NA,NA,NA
302,0,1,0,14.5,0.005232359,0.606896552,1,2,6.1,NA,NA,NA
303,0,0,0,16.5,0.003572649,0.545454545,1,1,7.9,1,93.7,11.86075949
304,0,1,0,16.3,-0.021601516,NA,0,NA,NA,NA,NA,NA
305,0,0,0,12.9,0.033968971,0.449612403,1,4,9.1,1,69.6,7.648351648
306,0,0,0,16.6,0.036654653,0.421686747,1,4,10.2,NA,NA,NA
307,0,1,0,16.1,-0.031795848,NA,1,NA,NA,NA,NA,NA
308,1,0,0,14,-0.088927943,0.428571429,1,NA,3.8,NA,NA,NA
309,0,0,0,14.8,0.125126364,0.398648649,1,6,9.3,1,85.9,9.23655914
310,0,0,0,13.7,NA,NA,0,NA,NA,NA,NA,NA
311,1,0,0,16.2,-0.003595682,NA,0,NA,NA,NA,NA,NA
312,0,1,0,13.9,-0.071908941,NA,0,NA,NA,NA,NA,NA
313,0,0,0,14.7,0.004616568,0.414965986,1,2,8.7,NA,NA,NA
314,0,0,0,17.1,-0.03357493,0.456140351,1,1,12.6,NA,NA,NA
315,0,0,0,14.9,-0.043655895,0.422818792,1,1,9.9,NA,NA,NA
316,0,1,0,14.5,0.038462727,NA,0,NA,NA,NA,NA,NA
317,0,0,0,15.8,0.037163815,NA,0,NA,NA,NA,NA,NA
318,0,0,0,14.1,0.007806309,0.482269504,1,2,10,NA,NA,NA
319,0,0,0,15.7,0.065893631,0.433121019,1,0,11.6,1,90.2,7.775862069
320,0,0,0,15,-0.004840064,0.46,1,2,10.3,1,43,4.174757282
321,0,0,0,13.3,0.076764303,0.488721805,1,1,8.7,NA,NA,NA
322,0,0,0,17,-0.023388286,0.458823529,1,6,3.7,1,1.1,0.297297297
323,1,1,0,14,-0.029642367,NA,0,NA,NA,NA,NA,NA
324,1,0,0,15.4,-0.04826992,0.493506494,1,2,11.2,NA,NA,NA
325,0,0,0,15.3,-0.065660755,NA,0,NA,NA,NA,NA,NA
326,0,1,0,13,-0.038140372,NA,0,NA,NA,NA,NA,NA
327,0,0,0,13.9,0.009420826,0.553956835,1,4,1.8,0,NA,NA
328,0,0,0,13,-0.014835689,NA,0,NA,NA,NA,NA,NA
329,0,0,0,14.7,NA,0.496598639,1,1,9.4,NA,NA,NA
330,0,0,0,14.5,-0.010237855,NA,0,NA,NA,NA,NA,NA
331,0,0,0,15.4,-0.014402404,NA,0,NA,NA,NA,NA,NA
332,0,0,0,11.1,-0.04824688,0.486486486,1,6,4.9,NA,NA,NA
333,0,1,0,13.6,-0.175947218,NA,0,NA,NA,NA,NA,NA
334,0,0,0,14.3,-0.00463705,0.426573427,1,0,11.7,NA,NA,NA
335,0,0,0,14.7,-0.019348197,0.510204082,1,5,10.2,0,NA,NA
336,0,0,0,14,-0.029227864,0.521428571,1,3,6.2,1,35.4,5.709677419
337,0,0,0,14.9,NA,0.476510067,1,2,9.6,NA,NA,NA
338,0,0,0,14.8,0.012245511,NA,0,NA,NA,NA,NA,NA
339,0,1,0,12.8,0.069642872,0.4609375,1,2,8.7,NA,NA,NA
340,1,1,0,11.8,0.071143916,0.576271186,1,NA,0.8,0,NA,NA
341,0,0,0,16.6,0.02273412,NA,1,NA,NA,NA,NA,NA
