"","i","j","pearson_corr","spearman_corr","pearson_p","pearson_p_adjusted","spearman_p","spearman_p_adjusted"
"65","Prop_gr_1_2","SH",-0.205008297262325,-0.0369042764961061,0.0699224932656034,0.175159868858786,0.74677541348943,0.836175375239856
"66","IR","SH",-0.969957308206459,-0.963335147634801,0,0,7.35516292203693e-308,3.05239261264532e-306
"67","ID","HL",0.0564475063711801,0.0568051397160318,0.191530061111282,0.364723286365036,0.188726995377071,0.401649759392228
"68","QnWeight_initial","HL",-0.00988798200737013,-0.0144899870366065,0.819173274436221,0.916766067861471,0.737613482588835,0.836175375239856
"69","PC1_cov","HL",0.01488674519888,0.000869918015066268,0.764336145066191,0.916766067861471,0.986023711670718,0.986023711670718
"70","Prop_Qn_Weight_Loss","HL",0.0329959962440567,0.0256126333098275,0.614782204674352,0.836506934229036,0.69608943906689,0.836175375239856
"71","Survived_eclosion","HL",0.177434432266784,0.175122825922353,0.00278833301949488,0.0115715820309038,0.00317172946772466,0.0134540652834973
"72","Days_wrkr_eclosion_minus20","HL",0.149772251887034,0.133026841228016,0.0237064004202783,0.0728752309215962,0.0447978612661137,0.128214568451291
"73","Cmass_eclosion","HL",-0.0877527339011121,-0.135797874448581,0.18003783001528,0.355789045030197,0.0374991320861896,0.111158141541205
"74","Survived_e_6wks","HL",0.113490489039236,0.150121046122706,0.28140716566881,0.467135895010224,0.153196540202844,0.353203134356558
"75","Cmass_6wks","HL",0.0737947417028782,-0.0355788717901216,0.518065947684801,0.767847743889973,0.755580158349267,0.836175375239856
"76","Prop_gr_1_2","HL",0.248945224001185,0.0708260811406058,0.0269417517641828,0.0771091516009369,0.53508552411839,0.836175375239856
"77","IR","HL",0.957478570559027,0.951018092715393,0,0,6.14795285616162e-275,1.02056017412283e-273
"78","SH","HL",-0.951533225517537,-0.943960931051416,3.89870081926949e-276,4.62274525713383e-275,1.01798421805741e-259,1.40821150164608e-258
"79","ID","MLH",-0.0642874235055028,-0.079214883012144,0.136799143673337,0.283858223122174,0.066613507945754,0.178352295467664
"80","QnWeight_initial","MLH",0.0114724259913902,0.0174602853815175,0.790822470908206,0.916766067861471,0.686433580612081,0.836175375239856
"81","PC1_cov","MLH",-0.0101169152621089,0.008393902788611,0.838564556955957,0.916766067861471,0.865772006580868,0.921270212130923
"82","Prop_Qn_Weight_Loss","MLH",-0.0285524356104559,-0.0289976958829209,0.663231878822085,0.860128842847391,0.658309051822711,0.836175375239856
"83","Survived_eclosion","MLH",-0.185754959881913,-0.179553281279306,0.00173141147113455,0.00879820172632902,0.00247441149699088,0.0120809502500143
"84","Days_wrkr_eclosion_minus20","MLH",-0.115255841665003,-0.0789722734944439,0.0824664006369918,0.180123980338693,0.234929161152247,0.443508418633338
"85","Cmass_eclosion","MLH",0.0851508111502481,0.118879170059436,0.193347284338091,0.364723286365036,0.0688928348205034,0.178690790315681
"86","Survived_e_6wks","MLH",-0.107500880641103,-0.124272308056606,0.307741003418462,0.491201986225623,0.23789594244739,0.443508418633338
"87","Cmass_6wks","MLH",-0.0308403400451109,0.0492388969254362,0.787306480822432,0.916766067861471,0.666518744232124,0.836175375239856
"88","Prop_gr_1_2","MLH",-0.20371001692985,-0.0563819170381639,0.0717522354361292,0.175159868858786,0.621632032545784,0.836175375239856
"89","IR","MLH",-0.963473643895785,-0.955205077484784,2.72310307505831e-308,4.52035110459679e-307,4.51889122781895e-285,1.25022657302991e-283
"90","SH","MLH",0.990383531975787,0.990180627595541,0,0,0,0
"91","HL","MLH",-0.960411524111911,-0.953032863379531,4.05109672508294e-299,5.60401713636473e-298,1.06682481595686e-279,2.21366149311049e-278
